"title","book_id","detail_url","category","author_raw","publisher","pub_date","original_price","sale_price","discount_rate","rating","review_count","delivery_info","badge","signature","series_name","sales_index","is_reserved","has_preview","is_soldout","revised_notice","ebook_info","gift_info","description","image_url"
"아이폰 & 아이패드 앱 마케팅","5905591","https://www.yes24.com/product/goods/5905591","모바일/태블릿/SNS","제프리 휴즈 저 / 양창호 역","에이콘출판사","2011년 11월","25,000","22,500","10",NA,NA,NA,NA,NA,NA,NA,NA,"Y","절판",NA,NA,NA,"아이폰 앱의 제작에서 홍보까지 마케팅에 대한 모든 것을 체계적으로 살펴볼 수 있는 가이드. 반짝이는 아이디어만 믿고 성급하게 개발에 착수하는 실수를 범하고 있는 많은 독립 개발자가 반드시 읽어야 하는 책으...","https://image.yes24.com/goods/5905591/L"
"갤럭시 탭 10.1 쉽게 배우기","5994209","https://www.yes24.com/product/goods/5994209","모바일/태블릿/SNS","윤신례 저","영진닷컴","2011년 11월","15,000","13,500","10",NA,NA,NA,NA,NA,NA,NA,NA,"Y","품절",NA,NA,NA,"한국형 태블릿PC, 갤럭시 탭 10.1 유저를 위한 책!더 넓고, 더 가볍고, 더 얇고, 더 빨라진 갤럭시 탭 10.1갤럭시 탭을 어떻게 활용 할 수 있는지에 대해 꼼꼼히 알려주고 활용 가능한 예제 사례를 제공해 더욱 쉽게...","https://image.yes24.com/goods/5994209/L"
"아이패드2 iPad2 무작정 따라하기","5980275","https://www.yes24.com/product/goods/5980275","모바일/태블릿/SNS","고경희 저","길벗","2011년 11월","15,000","13,500","10","10.0","회원리뷰(3건)",NA,NA,NA,NA,NA,NA,"Y","절판",NA,NA,NA,"휴대성을 강조했던 노트북보다 더 가볍고, PC보다 더 간편해진 작동법으로 세계인에게 사랑받는 태블릿 PC의 대표 주자 ‘아이패드2’의 화면을 터치하여 기능을 실행하는 데 도움이 되는 책이다. 구입 시 모델 선택...","https://image.yes24.com/goods/5980275/L"
"도와주세요! 아이폰 4S가 생겼어요 (iOS5 사용자 포함)","5951962","https://www.yes24.com/product/goods/5951962","모바일/태블릿/SNS","김현철, 임희석, 김태용 공저","한빛미디어","2011년 11월","14,800","13,320","10","8.0","회원리뷰(3건)",NA,NA,NA,"한빛 디지털 라이프",NA,NA,"Y","절판",NA,"Y",NA,"아이폰 4S로 모바일 라이프를 즐기자!아이폰 4S 사용법과 다양한 상황(금융, 교육, 교통, 쇼핑, 무료통화, , 소셜네트워크, 게임 등)에서 사용할 수 있는 응용 프로그램(App) 활용법을 직관적으로 설명하고 있어서 ...","https://image.yes24.com/goods/5951962/L"
"페이스북과 트위터로 소통하기","5952992","https://www.yes24.com/product/goods/5952992","모바일/태블릿/SNS","김혜성, 김영숙 공저","교학사","2011년 11월","8,000","7,200","10",NA,NA,NA,NA,NA,"Ok! Click 시리즈-22",NA,NA,NA,"절판",NA,NA,NA,"Ok! Click 시리즈는 컴퓨터 기반을 다질 수 있도록 야심차게 준비한 교재다. SNS가 일반화되고 기본이 되버린 현실에서 SNS를 보다 쉽고 재미있게 배울 수 있도록 어렵지 않은 예문과 큰 글자체, 큰 화면 그림으로 ...","https://image.yes24.com/goods/5952992/L"
"아이폰 아이패드를 위한 iOS 5 + iCloud","5848740","https://www.yes24.com/product/goods/5848740","모바일/태블릿/SNS","안창현, 황기도 공저","코드미디어","2011년 11월","12,000","10,800","10","8.5","회원리뷰(4건)","2일 이내 (5/13, 화) 출고예정",NA,NA,"스마트톡톡-03",NA,NA,"Y",NA,NA,NA,NA,"iOS 5에 추가된 200가지 기능을 분석하고 사용자들이 편하게 활용할 수 있도록 도와주는 책. iOS 5를 사용하기 위해 안전하게 자료를 백업하는 방법에서부터 업그레이드까지, iCloud를 비롯한 iOS 5의 핵심적인 기능...","https://image.yes24.com/goods/5848740/L"
"안드로이드폰 가이드 북","5863268","https://www.yes24.com/product/goods/5863268","모바일/태블릿/SNS","노영호 저","영진닷컴","2011년 11월","13,000","11,700","10",NA,NA,NA,NA,NA,NA,NA,NA,"Y","절판",NA,NA,NA,"책은 안드로이드폰의 활용 방법을 담아 구성하였다. 안드로이드라는 운영체제에 대한 설명과 각 제조사마다 다른 안드로이드폰 인터페이스, 사용 방법부터 정말 스마트하게 사용하기 위한 각종 방법들까지 안드로이...","https://image.yes24.com/goods/5863268/L"
"스마트 워킹 라이프","5862990","https://www.yes24.com/product/goods/5862990","모바일/태블릿/SNS","홍순성 저","영진닷컴","2011년 11월","13,000","11,700","10","8.7","회원리뷰(9건)","2일 이내 (5/13, 화) 출고예정",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,"스마트 기기가 우리의 삶을 어떻게 변화시키고 있고, 과연 이를 업무에서 어떻게 활용할 수 있을지 이야기한다. 연락처와 일정관리, 메모 등 아날로그 업무 방식을 완벽히 대체하고 업무 생산성을 높여줄 수 있는 스...","https://image.yes24.com/goods/5862990/L"
"이박고's iPhone 포토라이프","5890986","https://www.yes24.com/product/goods/5890986","모바일/태블릿/SNS","이성관, 박태양, 고유석 공저","정보문화사","2011년 10월","14,800","13,320","10","8.3","회원리뷰(12건)",NA,NA,NA,NA,NA,NA,"Y","절판",NA,NA,NA,"아이폰 카메라, 알고 찍는 것과 모르고 찍는 것은 다르다! 똑같은 아이폰으로 찍은 사진인데 어떤 사진은 DSLR로 찍은 작품 사진 같고 내 것은 블로그에 올리기조차 민망한 수준이다. 500만 화소를 자랑하는 아이폰 ...","https://image.yes24.com/goods/5890986/L"
"트위터는 넓게 페이스북은 깊게 블로그는 소신있게","5775049","https://www.yes24.com/product/goods/5775049","모바일/태블릿/SNS","이창현 저","가메출판사","2011년 10월","20,000","18,000","10",NA,NA,NA,NA,NA,NA,NA,NA,"Y","절판",NA,NA,NA,"소셜네트워크의 대명사인 트위터, 페이스북, 블로그를 다루었다. 미투데이, 플리커, 유튜브, 링크나우, 위키피디아까지 다루었으며 초보자들도 쉽게 따라 배울 수 있는 설명과 QR를 통해 이해를 돕도록 하였다.","https://image.yes24.com/goods/5775049/L"
